"match_id","group","stage","match_date","kickoff","team_code","team_name","current_city","current_stadium","previous_match_id","previous_match_date","previous_city","previous_stadium","rest_days","moved_city","is_final_group_round","schedule_pressure_level","schedule_pressure_reason","source"
"13","Group C","Matchday 3","2026-06-13","18:00 UTC-4","BRA","Brazil","New York/New Jersey","New York New Jersey Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"13","Group C","Matchday 3","2026-06-13","18:00 UTC-4","MAR","Morocco","New York/New Jersey","New York New Jersey Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"14","Group C","Matchday 3","2026-06-13","21:00 UTC-4","HAI","Haiti","Boston","Boston Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"14","Group C","Matchday 3","2026-06-13","21:00 UTC-4","SCO","Scotland","Boston","Boston Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"20","Group D","Matchday 3","2026-06-13","21:00 UTC-7","AUS","Australia","Vancouver","BC Place Vancouver","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"20","Group D","Matchday 3","2026-06-13","21:00 UTC-7","TUR","Turkey","Vancouver","BC Place Vancouver","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"25","Group E","Matchday 4","2026-06-14","12:00 UTC-5","GER","Germany","Houston","Houston Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"25","Group E","Matchday 4","2026-06-14","12:00 UTC-5","CUW","Curaçao","Houston","Houston Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"26","Group E","Matchday 4","2026-06-14","19:00 UTC-4","CIV","Ivory Coast","Philadelphia","Philadelphia Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"26","Group E","Matchday 4","2026-06-14","19:00 UTC-4","ECU","Ecuador","Philadelphia","Philadelphia Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"31","Group F","Matchday 4","2026-06-14","15:00 UTC-5","NED","Netherlands","Dallas","Dallas Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"31","Group F","Matchday 4","2026-06-14","15:00 UTC-5","JPN","Japan","Dallas","Dallas Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"32","Group F","Matchday 4","2026-06-14","20:00 UTC-6","SWE","Sweden","Monterrey","Estadio Monterrey","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"32","Group F","Matchday 4","2026-06-14","20:00 UTC-6","TUN","Tunisia","Monterrey","Estadio Monterrey","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"37","Group G","Matchday 5","2026-06-15","12:00 UTC-7","BEL","Belgium","Seattle","Seattle Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"37","Group G","Matchday 5","2026-06-15","12:00 UTC-7","EGY","Egypt","Seattle","Seattle Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"38","Group G","Matchday 5","2026-06-15","18:00 UTC-7","IRN","Iran","Los Angeles","Los Angeles Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"38","Group G","Matchday 5","2026-06-15","18:00 UTC-7","NZL","New Zealand","Los Angeles","Los Angeles Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"43","Group H","Matchday 5","2026-06-15","12:00 UTC-4","ESP","Spain","Atlanta","Atlanta Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"43","Group H","Matchday 5","2026-06-15","12:00 UTC-4","CPV","Cape Verde","Atlanta","Atlanta Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"44","Group H","Matchday 5","2026-06-15","18:00 UTC-4","KSA","Saudi Arabia","Miami","Miami Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"44","Group H","Matchday 5","2026-06-15","18:00 UTC-4","URU","Uruguay","Miami","Miami Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"49","Group I","Matchday 6","2026-06-16","15:00 UTC-4","FRA","France","New York/New Jersey","New York New Jersey Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"49","Group I","Matchday 6","2026-06-16","15:00 UTC-4","SEN","Senegal","New York/New Jersey","New York New Jersey Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"50","Group I","Matchday 6","2026-06-16","18:00 UTC-4","IRQ","Iraq","Boston","Boston Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"50","Group I","Matchday 6","2026-06-16","18:00 UTC-4","NOR","Norway","Boston","Boston Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"55","Group J","Matchday 6","2026-06-16","20:00 UTC-5","ARG","Argentina","Kansas City","Kansas City Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"55","Group J","Matchday 6","2026-06-16","20:00 UTC-5","ALG","Algeria","Kansas City","Kansas City Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"56","Group J","Matchday 6","2026-06-16","21:00 UTC-7","AUT","Austria","San Francisco Bay Area","San Francisco Bay Area Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"56","Group J","Matchday 6","2026-06-16","21:00 UTC-7","JOR","Jordan","San Francisco Bay Area","San Francisco Bay Area Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"61","Group K","Matchday 7","2026-06-17","12:00 UTC-5","POR","Portugal","Houston","Houston Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"61","Group K","Matchday 7","2026-06-17","12:00 UTC-5","COD","DR Congo","Houston","Houston Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"62","Group K","Matchday 7","2026-06-17","20:00 UTC-6","UZB","Uzbekistan","Mexico City","Mexico City Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"62","Group K","Matchday 7","2026-06-17","20:00 UTC-6","COL","Colombia","Mexico City","Mexico City Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"67","Group L","Matchday 7","2026-06-17","15:00 UTC-5","ENG","England","Dallas","Dallas Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"67","Group L","Matchday 7","2026-06-17","15:00 UTC-5","CRO","Croatia","Dallas","Dallas Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"68","Group L","Matchday 7","2026-06-17","19:00 UTC-4","GHA","Ghana","Toronto","Toronto Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"68","Group L","Matchday 7","2026-06-17","19:00 UTC-4","PAN","Panama","Toronto","Toronto Stadium","","","","","","FIRST_GROUP_MATCH","NO","首场小组赛","本队本届小组赛首场比赛，暂无上一场休息与移动压力。","calculated_from_data_matches_csv"
"3","Group A","Matchday 8","2026-06-18","12:00 UTC-4","CZE","Czech Republic","Atlanta","Atlanta Stadium","2","2026-06-11","Guadalajara","Estadio Guadalajara","7","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"3","Group A","Matchday 8","2026-06-18","12:00 UTC-4","RSA","South Africa","Atlanta","Atlanta Stadium","1","2026-06-11","Mexico City","Mexico City Stadium","7","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"4","Group A","Matchday 8","2026-06-18","19:00 UTC-6","MEX","Mexico","Guadalajara","Estadio Guadalajara","1","2026-06-11","Mexico City","Mexico City Stadium","7","YES","NO","中","休息时间相对正常，但存在跨城市移动。","calculated_from_data_matches_csv"
"4","Group A","Matchday 8","2026-06-18","19:00 UTC-6","KOR","South Korea","Guadalajara","Estadio Guadalajara","2","2026-06-11","Guadalajara","Estadio Guadalajara","7","NO","NO","低","休息时间相对正常，且未跨城市移动。","calculated_from_data_matches_csv"
