"match_id","match_date","kickoff","stage","group","team_a","team_b","stadium_id","city","country","stadium","status","team_a_code","team_b_code","score_a","score_b","team_a_placeholder","team_b_placeholder"
"87","2026-07-03","20:30 UTC-5","Round of 32","","1K","3D/E/I/J/L","KC","Kansas City","USA","Kansas City Stadium","scheduled","","","","","true","true"
"88","2026-07-03","13:00 UTC-5","Round of 32","","2D","2G","DAL","Dallas","USA","Dallas Stadium","scheduled","","","","","true","true"
"89","2026-07-04","17:00 UTC-4","Round of 16","","W74","W77","PHI","Philadelphia","USA","Philadelphia Stadium","scheduled","","","","","true","true"
"90","2026-07-04","12:00 UTC-5","Round of 16","","W73","W75","HOU","Houston","USA","Houston Stadium","scheduled","","","","","true","true"
"91","2026-07-05","16:00 UTC-4","Round of 16","","W76","W78","NYNJ","New York/New Jersey","USA","New York New Jersey Stadium","scheduled","","","","","true","true"
"92","2026-07-05","18:00 UTC-6","Round of 16","","W79","W80","MEX","Mexico City","Mexico","Mexico City Stadium","scheduled","","","","","true","true"
"93","2026-07-06","14:00 UTC-5","Round of 16","","W83","W84","DAL","Dallas","USA","Dallas Stadium","scheduled","","","","","true","true"
"94","2026-07-06","17:00 UTC-7","Round of 16","","W81","W82","SEA","Seattle","USA","Seattle Stadium","scheduled","","","","","true","true"
"95","2026-07-07","12:00 UTC-4","Round of 16","","W86","W88","ATL","Atlanta","USA","Atlanta Stadium","scheduled","","","","","true","true"
"96","2026-07-07","13:00 UTC-7","Round of 16","","W85","W87","VAN","Vancouver","Canada","BC Place Vancouver","scheduled","","","","","true","true"
"97","2026-07-09","16:00 UTC-4","Quarter-final","","W89","W90","BOS","Boston","USA","Boston Stadium","scheduled","","","","","true","true"
"98","2026-07-10","12:00 UTC-7","Quarter-final","","W93","W94","LA","Los Angeles","USA","Los Angeles Stadium","scheduled","","","","","true","true"
"99","2026-07-11","17:00 UTC-4","Quarter-final","","W91","W92","MIA","Miami","USA","Miami Stadium","scheduled","","","","","true","true"
"100","2026-07-11","20:00 UTC-5","Quarter-final","","W95","W96","KC","Kansas City","USA","Kansas City Stadium","scheduled","","","","","true","true"
"101","2026-07-14","14:00 UTC-5","Semi-final","","W97","W98","DAL","Dallas","USA","Dallas Stadium","scheduled","","","","","true","true"
"102","2026-07-15","15:00 UTC-4","Semi-final","","W99","W100","ATL","Atlanta","USA","Atlanta Stadium","scheduled","","","","","true","true"
"103","2026-07-18","17:00 UTC-4","Match for third place","","L101","L102","MIA","Miami","USA","Miami Stadium","scheduled","","","","","true","true"
"104","2026-07-19","15:00 UTC-4","Final","","W101","W102","NYNJ","New York/New Jersey","USA","New York New Jersey Stadium","scheduled","","","","","true","true"
